,all,fisher,relief,spec,f,chi2_nor,RFS,mrmr,cmim,jmi,borutashap,rf,lasso_svm,lasso_lg,lg,svc,rfs,cfs,chi2,shap
1452,1.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.2222222222222222,,
1453,1.0,0.10810810810810811,0.02702702702702703,0.4864864864864865,0.10810810810810811,0.10810810810810811,0.7567567567567568,0.21621621621621623,0.05405405405405406,0.05405405405405406,0.6756756756756757,0.13513513513513514,0.2972972972972973,0.3783783783783784,0.24324324324324326,0.24324324324324326,0.7027027027027027,0.16216216216216217,,
1487,1.0,0.9027777777777778,0.75,0.013888888888888888,0.9027777777777778,0.125,0.9583333333333334,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.6805555555555556,0.2916666666666667,0.19444444444444445,0.2361111111111111,0.1388888888888889,0.1388888888888889,0.5277777777777778,0.08333333333333333,,
1488,1.0,0.09090909090909091,0.22727272727272727,0.7727272727272727,0.09090909090909091,0.22727272727272727,0.5,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.36363636363636365,0.36363636363636365,0.22727272727272727,0.22727272727272727,0.4090909090909091,0.5909090909090909,,
1490,1.0,0.4166666666666667,0.16666666666666666,0.8333333333333334,0.4166666666666667,0.6666666666666666,0.3333333333333333,0.5,0.8333333333333334,0.5,0.16666666666666666,0.08333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.5,0.25,0.5,,
1494,1.0,0.8048780487804879,0.6829268292682927,0.926829268292683,0.8048780487804879,0.8048780487804879,0.6341463414634146,0.6585365853658537,0.6585365853658537,0.6585365853658537,0.9024390243902439,0.9024390243902439,0.5853658536585366,0.975609756097561,0.9024390243902439,0.9024390243902439,0.36585365853658536,0.2682926829268293,,
1496,1.0,,,,,,,,,,,,,,,,,0.4,,
1504,1.0,0.30303030303030304,0.9696969696969697,,0.30303030303030304,0.18181818181818182,0.15151515151515152,0.2727272727272727,0.36363636363636365,0.30303030303030304,0.2727272727272727,0.21212121212121213,0.18181818181818182,0.18181818181818182,,,0.9696969696969697,0.2727272727272727,,
1507,1.0,,,,,,,,,,,,,,,,,0.35,,
1510,1.0,0.6666666666666666,0.6666666666666666,0.9333333333333333,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.5333333333333333,0.3333333333333333,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.8666666666666667,0.36666666666666664,0.36666666666666664,,0.23333333333333334,,
1547,1.0,0.3,0.3,0.9,0.3,0.35,,,0.85,0.9,0.85,0.35,0.3,0.9,,,0.95,0.4,,
1566,1.0,0.83,0.36,0.99,0.83,0.9,0.18,,0.99,0.98,0.49,0.44,0.58,0.46,,,0.14,0.06,0.83,
